,count,tract,date
284,99,48201332300,2021-01-16
285,124,48201332400,2021-01-16
286,144,48201332500,2021-01-16
287,235,48201332600,2021-01-16
288,94,48201332700,2021-01-16
289,177,48201332800,2021-01-16
290,143,48201332900,2021-01-16
291,101,48201333000,2021-01-16
292,144,48201333100,2021-01-16
293,153,48201333201,2021-01-16
294,223,48201333202,2021-01-16
295,386,48201333300,2021-01-16
296,178,48201333500,2021-01-16
297,140,48201333600,2021-01-16
298,204,48201333700,2021-01-16
299,526,48201333800,2021-01-16
300,622,48201333901,2021-01-16
301,439,48201333902,2021-01-16
302,160,48201334001,2021-01-16
303,97,48201334002,2021-01-16
304,393,48201334003,2021-01-16
305,651,48201334100,2021-01-16
306,456,48201340100,2021-01-16
307,130,48201340201,2021-01-16
308,434,48201340202,2021-01-16
309,344,48201340203,2021-01-16
310,305,48201340301,2021-01-16
311,466,48201340302,2021-01-16
312,55,48201340400,2021-01-16
313,331,48201340500,2021-01-16
314,254,48201340600,2021-01-16
315,457,48201340700,2021-01-16
316,361,48201340800,2021-01-16
317,272,48201340900,2021-01-16
318,430,48201341000,2021-01-16
319,204,48201341100,2021-01-16
320,189,48201341201,2021-01-16
321,222,48201341202,2021-01-16
322,269,48201341301,2021-01-16
323,140,48201341302,2021-01-16
324,326,48201341400,2021-01-16
325,415,48201341501,2021-01-16
326,270,48201341502,2021-01-16
327,441,48201341600,2021-01-16
328,261,48201341700,2021-01-16
329,275,48201341800,2021-01-16
330,820,48201342001,2021-01-16
331,434,48201342002,2021-01-16
332,431,48201342100,2021-01-16
333,265,48201342200,2021-01-16
334,631,48201342300,2021-01-16
335,308,48201342400,2021-01-16
336,649,48201342500,2021-01-16
337,674,48201342700,2021-01-16
338,1330,48201342800,2021-01-16
339,689,48201342900,2021-01-16
340,854,48201343000,2021-01-16
341,610,48201343100,2021-01-16
342,686,48201343200,2021-01-16
343,564,48201343301,2021-01-16
344,624,48201343302,2021-01-16
345,340,48201343600,2021-01-16
346,262,48201343700,2021-01-16
347,1234,48201350100,2021-01-16
348,510,48201350200,2021-01-16
349,443,48201350300,2021-01-16
350,337,48201350400,2021-01-16
351,356,48201350500,2021-01-16
352,233,48201350601,2021-01-16
353,500,48201350602,2021-01-16
354,127,48201350700,2021-01-16
355,320,48201350801,2021-01-16
356,387,48201350802,2021-01-16
357,237,48201410100,2021-01-16
358,176,48201410200,2021-01-16
359,336,48201410300,2021-01-16
360,85,48201410401,2021-01-16
